date,store,product,category,is_perishable,units_sold,units_ordered,units_wasted
2024-01-01,Oslo Vest,Melk 1L,Meieri,True,110,119,9
2024-01-02,Oslo Vest,Melk 1L,Meieri,True,139,148,9
2024-01-03,Oslo Vest,Melk 1L,Meieri,True,138,164,26
2024-01-04,Oslo Vest,Melk 1L,Meieri,True,153,161,8
2024-01-05,Oslo Vest,Melk 1L,Meieri,True,157,171,14
2024-01-06,Oslo Vest,Melk 1L,Meieri,True,159,177,18
2024-01-07,Oslo Vest,Melk 1L,Meieri,True,81,90,9
2024-01-08,Oslo Vest,Melk 1L,Meieri,True,152,178,26
2024-01-09,Oslo Vest,Melk 1L,Meieri,True,124,139,15
2024-01-10,Oslo Vest,Melk 1L,Meieri,True,118,135,17
2024-01-11,Oslo Vest,Melk 1L,Meieri,True,120,138,18
2024-01-12,Oslo Vest,Melk 1L,Meieri,True,188,220,32
2024-01-13,Oslo Vest,Melk 1L,Meieri,True,176,191,15
2024-01-14,Oslo Vest,Melk 1L,Meieri,True,123,131,8
2024-01-15,Oslo Vest,Melk 1L,Meieri,True,121,129,8
2024-01-16,Oslo Vest,Melk 1L,Meieri,True,152,180,28
2024-01-17,Oslo Vest,Melk 1L,Meieri,True,112,129,17
2024-01-18,Oslo Vest,Melk 1L,Meieri,True,130,137,7
2024-01-19,Oslo Vest,Melk 1L,Meieri,True,167,197,30
2024-01-20,Oslo Vest,Melk 1L,Meieri,True,183,204,21
2024-01-21,Oslo Vest,Melk 1L,Meieri,True,188,204,16
2024-01-22,Oslo Vest,Melk 1L,Meieri,True,156,194,38
2024-01-23,Oslo Vest,Melk 1L,Meieri,True,137,169,32
2024-01-24,Oslo Vest,Melk 1L,Meieri,True,150,160,10
2024-01-25,Oslo Vest,Melk 1L,Meieri,True,112,124,12
2024-01-26,Oslo Vest,Melk 1L,Meieri,True,131,159,28
2024-01-27,Oslo Vest,Melk 1L,Meieri,True,137,159,22
2024-01-28,Oslo Vest,Melk 1L,Meieri,True,115,124,9
