Store,StoreType,Assortment,CompetitionDistance,Total_Sales,Avg_Daily_Sales,Avg_Customers,Days_With_Promo,N_Days
1,c,a,1270.0,3716854,4759.0,564.0,350,781
2,a,a,570.0,3883858,4954.0,584.0,354,784
3,a,a,14130.0,5408261,6943.0,750.0,350,779
4,c,c,620.0,7556507,9638.0,1322.0,353,784
5,a,a,29910.0,3642818,4676.0,537.0,351,779
6,a,a,310.0,4297758,5510.0,635.0,352,780
7,a,c,24000.0,6930202,8817.0,949.0,354,786
8,a,a,7520.0,4342857,5539.0,658.0,353,784
9,a,c,2030.0,5112061,6562.0,580.0,350,779
10,a,a,3160.0,4365642,5568.0,594.0,353,784
11,a,c,960.0,6296286,8031.0,1130.0,353,784
12,a,c,1070.0,5950245,7590.0,897.0,353,784
13,d,a,310.0,3126578,5035.0,383.0,274,621
14,a,a,1300.0,4291174,5509.0,631.0,350,779
15,d,c,4110.0,5231510,6673.0,663.0,353,784
16,a,c,3270.0,5967891,7681.0,852.0,348,777
17,a,a,50.0,4954488,6336.0,792.0,353,782
18,d,c,13840.0,5130137,6560.0,713.0,353,782
19,a,c,3240.0,5036169,6465.0,625.0,350,779
20,d,a,2340.0,4801543,7757.0,849.0,271,619
21,c,c,550.0,4259763,5482.0,516.0,348,777
22,a,a,1040.0,2801506,4526.0,504.0,273,619
23,d,a,4060.0,4300299,5520.0,482.0,350,779
24,a,c,4590.0,7313475,9388.0,835.0,350,779
25,c,a,430.0,8376557,11169.0,1570.0,338,750
26,d,a,2300.0,5217266,6672.0,556.0,353,782
27,a,a,60.0,7383809,9479.0,1075.0,350,779
28,a,a,1200.0,4080950,5314.0,584.0,346,768
29,d,c,2170.0,5737160,7365.0,654.0,350,779
30,a,a,40.0,4114046,5295.0,777.0,348,777
31,d,c,9800.0,4596143,5862.0,586.0,353,784
32,a,a,2910.0,2526117,4068.0,477.0,274,621
33,a,c,1320.0,6572158,8437.0,836.0,350,779
34,c,a,2240.0,6296685,8031.0,993.0,353,784
35,d,c,7660.0,7558693,9703.0,730.0,350,779
36,a,c,540.0,5824183,9364.0,1090.0,274,622
37,c,a,4230.0,5549053,7114.0,781.0,351,780
38,d,a,1090.0,4677617,6005.0,535.0,350,779
39,a,a,260.0,3780153,4853.0,630.0,350,779
40,a,a,180.0,3804215,4902.0,664.0,348,776
41,d,c,1180.0,3318407,5335.0,398.0,274,622
42,a,c,290.0,7928768,10178.0,1100.0,350,779
43,d,a,4880.0,5315050,6823.0,610.0,350,779
44,a,a,540.0,4295144,5478.0,640.0,353,784
45,d,a,9710.0,4166458,5348.0,415.0,350,779
46,c,a,1200.0,3329125,5352.0,661.0,274,622
47,a,c,270.0,5601760,7145.0,921.0,353,784
48,a,a,1060.0,3085014,3935.0,429.0,353,784
49,d,c,18010.0,5675296,7304.0,532.0,348,777
50,d,a,6260.0,3315479,4256.0,359.0,350,779
51,a,c,10570.0,4152028,6675.0,497.0,274,622
52,d,c,450.0,4607742,7408.0,503.0,274,622
53,a,c,30360.0,4127609,5265.0,567.0,353,784
54,d,c,7170.0,6207418,7908.0,730.0,354,785
55,a,a,720.0,3587212,4599.0,559.0,352,780
56,d,c,6620.0,5718290,7322.0,507.0,350,781
57,d,c,420.0,8155633,10606.0,990.0,347,769
58,a,c,7340.0,3947427,6336.0,513.0,275,623
59,a,c,2840.0,4302026,5501.0,564.0,353,782
60,d,c,5540.0,6265808,8033.0,713.0,352,780
61,a,c,350.0,3668998,4722.0,572.0,348,777
62,a,a,2050.0,5066512,6504.0,718.0,350,779
63,c,c,3700.0,5453808,6956.0,639.0,353,784
64,d,c,22560.0,8070070,10360.0,793.0,350,779
65,a,c,13840.0,3988058,5113.0,456.0,351,780
66,d,a,7660.0,4750858,6114.0,524.0,348,777
67,a,c,410.0,6083079,7829.0,798.0,348,777
